id,english,telugu
8415,I'm at home now.,నేను ఇప్పుడు ఇంట్లో ఉన్నాను.
8416,I have no money to pay for the bus.,బస్సు చెల్లించడానికి నా దగ్గర డబ్బు లేదు.
8417,"I don't know the introduction, but I can sing the refrain.","పరిచయం నాకు తెలియదు, కాని నేను పల్లవి పాడగలను."
8418,I feel ready for the challenge.,నేను సవాలుకు సిద్ధంగా ఉన్నాను.
8419,I didn't know you were afraid.,మీరు భయపడుతున్నారని నాకు తెలియదు.
8420,I need another one.,నాకు మరొకటి కావాలి.
8421,I'll give you a call later.,నేను మీకు తరువాత కాల్ ఇస్తాను.
8422,I like being alone.,నేను ఒంటరిగా ఉండటం ఇష్టం.
8423,I don't make mistakes.,నేను తప్పులు చేయను.
8424,I want a puppy.,నాకు కుక్కపిల్ల కావాలి.
8425,I don't want you to work there.,మీరు అక్కడ పనిచేయడం నాకు ఇష్టం లేదు.
8426,I forgot to mention something important.,ముఖ్యమైన విషయం చెప్పడం మర్చిపోయాను.
8427,I'm not afraid of you.,నేను మీకు భయపడను.
8428,I need to know more about you.,నేను మీ గురించి మరింత తెలుసుకోవాలి.
8429,Where is your father?,మీ తండ్రి గారు ఎక్కడ?
8430,I'm needy.,నేను నిరుపేదను.
8431,How many times do I have to say it?,నేను ఎన్నిసార్లు చెప్పాలి?
8432,Would you like a room with a bath or a shower?,మీరు స్నానం లేదా షవర్ ఉన్న గది కావాలనుకుంటున్నారా?
8433,How much will you pay us?,మీరు మాకు ఎంత చెల్లిస్తారు?
8434,I'm going upstairs.,నేను మేడమీదకు వెళ్తున్నాను.
8435,I don't want this.,నాకు ఇది అక్కరలేదు.
8436,I'm working alone.,నేను ఒంటరిగా పని చేస్తున్నాను.
8437,Can you go to the office by train?,మీరు రైలులో కార్యాలయానికి వెళ్ళగలరా?
8438,There are a a few pages missing from the book.,పుస్తకం నుండి కొన్ని పేజీలు లేవు.
8439,Let's get down to business.,వ్యాపారానికి దిగుదాం.
8440,I can't tell my family.,నేను నా కుటుంబానికి చెప్పలేను.
8441,Will you take it?,మీరు తీసుకుంటారా?
8442,I don't feel like talking.,నాకు మాట్లాడాలని అనిపించదు.
8443,Please give me a glass of milk.,దయచేసి నాకు ఒక గ్లాసు పాలు ఇవ్వండి.
8444,Would you please not leave the door open?,దయచేసి మీరు తలుపు తెరిచి ఉంచరా?
8445,She is a good writer.,ఆమె మంచి రచయిత.
8446,Would you like to go to the lake with us?,మీరు మాతో సరస్సుకి వెళ్లాలనుకుంటున్నారా?
8447,I'll help you burn everything.,ప్రతిదీ కాల్చడానికి నేను మీకు సహాయం చేస్తాను.
8448,I don't feel well today and prefer to stay at home.,ఈ రోజు నాకు ఆరోగ్యం బాగాలేదు మరియు ఇంట్లో ఉండటానికి ఇష్టపడతారు.
8449,Don't forget your water bottle.,మీ వాటర్ బాటిల్ మర్చిపోవద్దు.
8450,I like your frankness.,నేను మీ స్పష్టతను ఇష్టపడుతున్నాను.
8451,It's not very windy today.,ఈ రోజు చాలా గాలులు లేవు.
8452,Be careful with that knife.,ఆ కత్తితో జాగ్రత్తగా ఉండండి.
8453,Give me thirty dollars now and I'll pay you back Monday.,ఇప్పుడు నాకు ముప్పై డాలర్లు ఇవ్వండి మరియు నేను సోమవారం మీకు తిరిగి చెల్లిస్తాను.
8454,I'm not going to die.,నేను చనిపోను.
8455,I wish I had a car like this.,నాకు ఇలాంటి కారు ఉండాలని కోరుకుంటున్నాను.
8456,I want to know where it is.,నేను ఎక్కడ ఉన్నానో తెలుసుకోవాలనుకుంటున్నాను.
8457,Will you tell me the way to his house?,మీరు అతని ఇంటికి వెళ్ళే మార్గం చెబుతారా?
8458,I think I can come over this afternoon.,నేను ఈ మధ్యాహ్నం రావచ్చని అనుకుంటున్నాను.
8459,I'll drink the same thing you do.,మీరు చేసేదే నేను తాగుతాను.
8460,I won't tell anybody you're in Australia.,మీరు ఆస్ట్రేలియాలో ఉన్న ఎవరికీ నేను చెప్పను.
8461,How much would you pay?,మీరు ఎంత చెల్లించాలి?
8462,I need to talk to you about that.,దాని గురించి నేను మీతో మాట్లాడాలి.
8463,She isn't answering her phone.,ఆమె ఫోన్‌కు ఆమె సమాధానం ఇవ్వడం లేదు.
8464,I can't carry this suitcase by myself.,నేను ఈ సూట్‌కేస్‌ను స్వయంగా మోయలేను.
8465,Please move your car out of here.,దయచేసి మీ కారును ఇక్కడి నుండి తరలించండి.
8466,It is important to maintain your body temperature at a suitable level.,మీ శరీర ఉష్ణోగ్రతను తగిన స్థాయిలో నిర్వహించడం చాలా ముఖ్యం.
8467,I'll take a cab home.,నేను ఇంటికి క్యాబ్ తీసుకుంటాను.
8468,It's about time to go to school.,ఇది పాఠశాలకు వెళ్ళే సమయం.
8469,I want you to study French.,మీరు ఫ్రెంచ్ చదువుకోవాలని నేను కోరుకుంటున్నాను.
8470,Tell me when I should be there.,నేను ఎప్పుడు అక్కడ ఉండాలో చెప్పు.
8471,Let me tell you something about myself.,నా గురించి మీకు కొంత చెప్తాను.
8472,I am afraid it is a reject.,ఇది తిరస్కరణ అని నేను భయపడుతున్నాను.
8473,I like this one.,ఇది నాకు నచ్చింది.
8474,He isn't answering his phone.,అతను తన ఫోన్‌కు సమాధానం ఇవ్వడం లేదు.
8475,I know why you didn't tell the truth.,మీరు ఎందుకు నిజం చెప్పలేదని నాకు తెలుసు.
8476,Let me tell you something else.,ఇంకేదో మీకు చెప్తాను.
8477,Tell me the reason why she got angry.,ఆమెకు కోపం రావడానికి కారణం చెప్పండి.
8478,I know that I won't like living in Boston.,బోస్టన్‌లో నివసించడం నాకు ఇష్టం లేదని నాకు తెలుసు.
8479,I'm not good at drawing.,నేను డ్రాయింగ్‌లో బాగా లేను.
8480,I was only gone an hour.,నేను ఒక గంట మాత్రమే వెళ్ళాను.
8481,Let's hope that that's the last time that happens.,ఇది చివరిసారి జరుగుతుందని ఆశిస్తున్నాము.
8482,I need mosquito repellent.,నాకు దోమ వికర్షకం అవసరం.
8483,How much do you think I'll have to spend to get my car repaired?,నా కారు మరమ్మతు చేయడానికి నేను ఎంత ఖర్చు చేయాల్సి వస్తుందని మీరు అనుకుంటున్నారు?
8484,You shouldn't talk about your friends behind their backs.,మీరు మీ స్నేహితుల వెనుక మాట్లాడకూడదు.
8485,Can your mom drive a car?,మీ అమ్మ కారు నడపగలదా?
8486,I like oranges better than apples.,నేను ఆపిల్ల కంటే నారింజను బాగా ఇష్టపడుతున్నాను.
8487,Don't worry about us.,మా గురించి చింతించకండి.
8488,I haven't given up.,నేను వదల్లేదు.
8489,He is always happy.,అతను ఎల్లప్పుడూ సంతోషంగా ఉంటాడు.
8490,Please forgive me for not having written to you earlier.,ఇంతకు ముందు మీకు లేఖ రాయని దయచేసి నన్ను క్షమించు.
8491,I've always paid the rent on time.,నేను ఎప్పుడూ అద్దెను సమయానికి చెల్లించాను.
8492,How long do we need to stay here?,మనం ఇక్కడ ఎంతకాలం ఉండాలి?
8493,He is the last person I want to see now.,నేను ఇప్పుడు చూడాలనుకుంటున్న చివరి వ్యక్తి ఆయన.
8494,I'll tell you what I can do.,నేను ఏమి చేయగలను అని మీకు చెప్తాను.
8495,You're doing a good job.,మీరు మంచి పని చేస్తున్నారు.
8496,Please stay for a while longer.,దయచేసి కొద్దిసేపు ఉండండి.
8497,I have a nice present to give you.,మీకు ఇవ్వడానికి నాకు మంచి బహుమతి ఉంది.
8498,I am to take over my father's business.,నేను నా తండ్రి వ్యాపారాన్ని స్వాధీనం చేసుకుంటాను.
8499,It is raining now.,ఇప్పుడు వర్షం పడుతోంది.
8500,I like that flag.,నాకు ఆ జెండా ఇష్టం.
8501,I need a lamp.,నాకు దీపం కావాలి.
8502,I'm going to take off this stamp with hot water.,నేను ఈ స్టాంప్‌ను వేడి నీటితో తీయబోతున్నాను.
8503,Please correct the following sentence.,దయచేసి క్రింది వాక్యాన్ని సరిచేయండి.
8504,Let's take a look under the hood.,హుడ్ కింద చూద్దాం.
8505,Give me back my hat.,నా టోపీని తిరిగి ఇవ్వండి.
8506,I want to apologize for all the terrible things I said.,నేను చెప్పిన అన్ని భయంకరమైన విషయాలకు క్షమాపణ చెప్పాలనుకుంటున్నాను.
8507,You have a very good memory.,మీకు చాలా మంచి జ్ఞాపకం ఉంది.
8508,We haven't forgotten you.,మేము మిమ్మల్ని మరచిపోలేదు.
8509,I like to walk in the mountains.,నాకు పర్వతాలలో నడవడం ఇష్టం.
8510,I've got one like that already.,నేను ఇప్పటికే అలాంటిదాన్ని పొందాను.
8511,I'm so happy you're here!,మీరు ఇక్కడ ఉన్నందుకు నాకు చాలా సంతోషంగా ఉంది!
8512,I don't need the user manual.,నాకు యూజర్ మాన్యువల్ అవసరం లేదు.
8513,I don't like being made to do things I don't want to do.,నేను చేయకూడని పనులను చేయడం నాకు ఇష్టం లేదు.
8514,He is my friend. Do you guys know him?,అతను నా స్నేహితుడు.
8515,I'm good at math.,నేను గణితంలో మంచివాడిని.
8516,You must be a good cook.,మీరు మంచి కుక్ అయి ఉండాలి.
8517,I have a small house.,నాకు ఒక చిన్న ఇల్లు ఉంది.
8518,How many boys are there in the room?,గదిలో ఎంత మంది అబ్బాయిలు ఉన్నారు?
8519,You're cheating.,మీరు మోసం చేస్తున్నారు.
8520,I haven't been able to find a job so far.,నేను ఇప్పటివరకు ఉద్యోగం కనుగొనలేకపోయాను.
8521,Let's see how the negotiations pan out before we decide.,మేము నిర్ణయించే ముందు చర్చలు ఎలా జరుగుతాయో చూద్దాం.
8522,How long will it take to you?,మీకు ఎంత సమయం పడుతుంది?
8523,I'm not the one who needs to lose weight.,నేను బరువు తగ్గవలసిన వ్యక్తిని కాదు.
8524,I want to learn a new language.,నేను క్రొత్త భాష నేర్చుకోవాలనుకుంటున్నాను.
8525,I will come.,నేను వస్తాను.
8526,It's a one-time offer.,ఇది వన్ టైమ్ ఆఫర్.
8527,Don't tell anyone about this.,దీని గురించి ఎవరికీ చెప్పకండి.
8528,I love her to death.,నేను ఆమెను మరణానికి ప్రేమిస్తున్నాను.
8529,I've got enough problems as it is.,నాకు తగినంత సమస్యలు ఉన్నాయి.
8530,I want to ask you a question.,నేను మీకు ఒక ప్రశ్న అడగాలనుకుంటున్నాను.
8531,"It's a very good newspaper, isn't it?","ఇది చాలా మంచి వార్తాపత్రిక, కాదా?"
8532,I like brunettes.,నాకు బ్రూనెట్స్ అంటే ఇష్టం.
8533,There is a bookstore in front of the department store.,డిపార్ట్‌మెంట్ స్టోర్ ముందు పుస్తక దుకాణం ఉంది.
8534,He is afraid of death.,అతను మరణానికి భయపడతాడు.
8535,I've come to apologize.,నేను క్షమాపణ చెప్పడానికి వచ్చాను.
8536,I have to buy some medicine for my mother.,నేను నా తల్లికి కొంత medicine షధం కొనాలి.
8537,I'm afraid I have to go now.,నేను ఇప్పుడు వెళ్ళాలి అని భయపడుతున్నాను.
8538,I want to do this later.,నేను దీన్ని తరువాత చేయాలనుకుంటున్నాను.
8539,I have one brother and two sisters.,నాకు ఒక సోదరుడు మరియు ఇద్దరు సోదరీమణులు ఉన్నారు.
8540,I don't know where to go or what to do.,"ఎక్కడికి వెళ్ళాలో, ఏమి చేయాలో నాకు తెలియదు."
8541,I want to emphasize the need to get this done on time.,దీన్ని సకాలంలో పూర్తి చేయవలసిన అవసరాన్ని నేను నొక్కిచెప్పాలనుకుంటున్నాను.
8542,I wanted to stay there two days longer.,నేను రెండు రోజులు ఎక్కువసేపు అక్కడే ఉండాలని అనుకున్నాను.
8543,Don't take their word for it.,దాని కోసం వారి మాటను తీసుకోకండి.
8544,I think I can see our house from here.,నేను మా ఇంటిని ఇక్కడి నుండి చూడగలనని అనుకుంటున్నాను.
8545,I can't wait for summer vacation to start.,వేసవి సెలవులు ప్రారంభమయ్యే వరకు నేను వేచి ఉండలేను.
8546,Could you explain how this machine works?,ఈ యంత్రం ఎలా పనిచేస్తుందో మీరు వివరించగలరా?
8547,How many years ago did you buy your car?,ఎన్ని సంవత్సరాల క్రితం మీరు మీ కారు కొన్నారు?
8548,I need time to think about all of this.,వీటన్నిటి గురించి ఆలోచించడానికి నాకు సమయం కావాలి.
8549,I don't often tell jokes.,నేను తరచూ జోకులు చెప్పను.
8550,"Could you pass me the salt, please?",దయచేసి మీరు నాకు ఉప్పు వేయగలరా?
8551,It's not always like that.,ఇది ఎల్లప్పుడూ అలాంటిది కాదు.
8552,I think it's going well.,ఇది బాగా జరుగుతుందని నేను అనుకుంటున్నాను.
8553,I've been waiting for you a long time.,నేను మీ కోసం చాలా కాలం నుండి ఎదురు చూస్తున్నాను.
8554,Where is my car?,నా కారు ఎక్కడ ఉంది?
8555,I like many kinds of music.,నాకు చాలా రకాల సంగీతం ఇష్టం.
8556,I have urgent business to attend to.,నేను హాజరు కావడానికి అత్యవసర వ్యాపారం ఉంది.
8557,I want to move to Boston.,నేను బోస్టన్‌కు వెళ్లాలనుకుంటున్నాను.
8558,I'll tell you how to do that.,ఎలా చేయాలో నేను మీకు చెప్తాను.
8559,I want my father to see the movie.,నాన్న సినిమా చూడాలని కోరుకుంటున్నాను.
8560,I'm afraid I've run short of coffee.,నేను కాఫీ తక్కువగా ఉన్నానని భయపడుతున్నాను.
8561,Give me back my book.,నా పుస్తకాన్ని తిరిగి ఇవ్వండి.
8562,I washed my hands with soap and water.,నేను సబ్బు మరియు నీటితో చేతులు కడుగుతాను.
8563,I need to see you tonight.,నేను ఈ రాత్రి మిమ్మల్ని చూడాలి.
8564,It's only a book.,ఇది ఒక పుస్తకం మాత్రమే.
8565,I'm sorry I ruined your party.,"క్షమించండి, నేను మీ పార్టీని నాశనం చేసాను."
8566,I'm not going to lie.,నేను అబద్ధం చెప్పను.
8567,What are you going to do? Tell your mom?,మీరు ఏమి చేయబోతున్నారు?
8568,I forgot his phone number.,నేను అతని ఫోన్ నంబర్ మర్చిపోయాను.
8569,I can't drive you to school today.,నేను ఈ రోజు మిమ్మల్ని పాఠశాలకు నడిపించలేను.
8570,It's become dark.,ఇది చీకటిగా మారింది.
8571,I am swamped with work.,నేను పనితో చిత్తడినేలలు.
8572,We have a lot of things we need to buy.,మనం కొనవలసినవి చాలా ఉన్నాయి.
8573,I've eaten all the crackers.,నేను అన్ని క్రాకర్లు తిన్నాను.
8574,I've come to depend on you.,నేను మీ మీద ఆధారపడటానికి వచ్చాను.
8575,I'm still waiting for my order.,నేను ఇప్పటికీ నా ఆర్డర్ కోసం ఎదురు చూస్తున్నాను.
8576,Let's take a break for a second.,ఒక సెకనుకు విరామం తీసుకుందాం.
8577,I am very tired from the hard work.,నేను కష్టపడి చాలా అలసిపోయాను.
8578,How much are you prepared to pay?,మీరు ఎంత చెల్లించడానికి సిద్ధంగా ఉన్నారు?
8579,I don't have time to explain everything.,ప్రతిదీ వివరించడానికి నాకు సమయం లేదు.
8580,"I know it's early, but let's go home.","ఇది ప్రారంభమని నాకు తెలుసు, కాని ఇంటికి వెళ్దాం."
8581,Please change the punctuation.,దయచేసి విరామచిహ్నాలను మార్చండి.
8582,She is not as old as my sister is.,ఆమెకు నా సోదరి వయస్సు లేదు.
8583,I don't have a car yet.,నాకు ఇంకా కారు లేదు.
8584,I don't want to see anybody.,నేను ఎవరినీ చూడాలనుకోవడం లేదు.
8585,Please listen now.,దయచేసి ఇప్పుడు వినండి.
8586,I need to know the exact date and time.,నేను ఖచ్చితమైన తేదీ మరియు సమయాన్ని తెలుసుకోవాలి.
8587,I like him not because he is kind but because he is honest.,నేను అతనిని ఇష్టపడతాను ఎందుకంటే అతను దయగలవాడు కాని అతను నిజాయితీపరుడు.
8588,Let's not do the work.,పని చేయనివ్వండి.
8589,I like the ocean.,నాకు సముద్రం అంటే ఇష్టం.
8590,I don't like running.,నాకు పరిగెత్తడం ఇష్టం లేదు.
8591,I don't want to live here.,నేను ఇక్కడ నివసించడం ఇష్టం లేదు.
8592,We have to keep working on that.,మేము దానిపై పని చేస్తూనే ఉండాలి.
8593,I don't wash my car very often.,నేను చాలా తరచుగా నా కారును కడగను.
8594,I need to know what they were talking about.,వారు ఏమి మాట్లాడుతున్నారో నేను తెలుసుకోవాలి.
8595,Don't take too long.,ఎక్కువ సమయం తీసుకోకండి.
8596,I have three mobile phones.,నా దగ్గర మూడు మొబైల్ ఫోన్లు ఉన్నాయి.
8597,I was being taught to cheat.,నేను మోసం నేర్పించాను.
8598,It is very hard to tell what country a person comes from.,ఒక వ్యక్తి ఏ దేశం నుండి వచ్చాడో చెప్పడం చాలా కష్టం.
8599,Tell me about your dreams.,మీ కలల గురించి చెప్పు.
8600,How long should I take this medicine?,నేను ఎంతసేపు ఈ take షధం తీసుకోవాలి?
8601,I don't feel like going to bed.,నాకు పడుకోమని అనిపించదు.
8602,I don't want to become famous.,నేను ఫేమస్ అవ్వాలనుకోవడం లేదు.
8603,Don't you love your wife?,మీరు మీ భార్యను ప్రేమించలేదా?
8604,I'm afraid of cats.,నేను పిల్లులకు భయపడుతున్నాను.
8605,I don't have enough time.,నాకు తగినంత సమయం లేదు.
8606,"Listen to me, please.",దయచేసి నా మాట వినండి.
8607,I'm doing my French homework.,నేను నా ఫ్రెంచ్ హోంవర్క్ చేస్తున్నాను.
8608,I wish it didn't have to be like this.,ఇది ఇలా ఉండవలసిన అవసరం లేదని నేను కోరుకుంటున్నాను.
8609,It's still too early to talk about that.,దాని గురించి మాట్లాడటానికి ఇంకా చాలా తొందరగా ఉంది.
8610,Don't you like me?,మీరు నన్ను ఇష్టపడలేదా?
8611,I didn't want to wake up the kids.,నేను పిల్లలను మేల్కొలపడానికి ఇష్టపడలేదు.
8612,It is as warm today as yesterday.,ఇది నిన్నటిలాగే ఈ రోజు వెచ్చగా ఉంటుంది.
8613,I've already decided.,నేను ఇప్పటికే నిర్ణయించుకున్నాను.
8614,It's quite possible that I'm mistaken.,నేను తప్పుగా భావించడం చాలా సాధ్యమే.
8615,I didn't feel like laughing.,నాకు నవ్వు అనిపించలేదు.
8616,I don't like living alone.,ఒంటరిగా జీవించడం నాకు ఇష్టం లేదు.
8617,I think this book is easy.,ఈ పుస్తకం సులభం అని నా అభిప్రాయం.
8618,Tell me how to do that.,ఎలా చేయాలో చెప్పు.
8619,I'm sorry I yelled at you yesterday.,"క్షమించండి, నేను నిన్న నిన్ను అరిచాను."
8620,Please write with a pencil.,దయచేసి పెన్సిల్‌తో రాయండి.
8621,I was very sick at that time.,ఆ సమయంలో నేను చాలా అనారోగ్యంతో ఉన్నాను.
8622,I want you to promise me that.,మీరు నాకు వాగ్దానం చేయాలని నేను కోరుకుంటున్నాను.
8623,It's already three o'clock.,అప్పటికే మూడు గంటలు అయింది.
8624,It's time to eat.,ఇది తినడానికి సమయం.
8625,I wish I had the time to stay and talk with you.,నేను మీతో ఉండటానికి మరియు మాట్లాడటానికి సమయం కావాలని కోరుకుంటున్నాను.
8626,You should tell him the truth.,మీరు అతనికి నిజం చెప్పాలి.
8627,Tell me what's going on here.,ఇక్కడ ఏమి జరుగుతుందో చెప్పు.
8628,I'm just a family friend.,నేను కేవలం కుటుంబ స్నేహితుడిని.
8629,I think they're ready.,వారు సిద్ధంగా ఉన్నారని నేను అనుకుంటున్నాను.
8630,It is too hot to stay here.,ఇక్కడ ఉండటానికి చాలా వేడిగా ఉంది.
8631,Please send me a letter.,దయచేసి నాకు ఒక లేఖ పంపండి.
8632,I'll give you a couple examples.,నేను మీకు రెండు ఉదాహరణలు ఇస్తాను.
8633,I'm going deaf.,నేను చెవిటివాడిని.
8634,Don't let go of the rope.,తాడును వీడవద్దు.
8635,I'll take care of the horses.,నేను గుర్రాలను చూసుకుంటాను.
8636,I'm glad you called.,మీరు పిలిచినందుకు నాకు సంతోషం.
8637,I'm happy with it.,నేను దానితో సంతోషంగా ఉన్నాను.
8638,I want to know the truth about my son's death.,నా కొడుకు మరణం గురించి నిజం తెలుసుకోవాలనుకుంటున్నాను.
8639,Don't you want to know?,మీరు తెలుసుకోవాలనుకుంటున్నారా?
8640,I don't think we can get home by Monday.,నేను సోమవారం నాటికి ఇంటికి చేరుకోగలనని నేను అనుకోను.
8641,How much milk did you drink?,మీరు ఎంత పాలు తాగారు?
8642,I didn't drink that milk.,నేను ఆ పాలు తాగలేదు.
8643,You're not God.,మీరు దేవుడు కాదు.
8644,Please fill in this form.,దయచేసి ఈ ఫారమ్ నింపండి.
8645,Don't take everything so seriously.,ప్రతిదాన్ని అంత సీరియస్‌గా తీసుకోకండి.
8646,Come here. I need to tell you something.,ఇక్కడికి రండి.
8647,I need money to buy other things.,ఇతర వస్తువులు కొనడానికి నాకు డబ్బు కావాలి.
8648,I know I'm likely be arrested.,నన్ను అరెస్టు చేసే అవకాశం ఉందని నాకు తెలుసు.
8649,I am very grateful to you for what you've done for my family.,మీరు నా కుటుంబం కోసం చేసిన దానికి నేను మీకు చాలా కృతజ్ఞతలు.
8650,I am proud of never being late for school.,నేను ఎప్పుడూ పాఠశాలకు ఆలస్యం కానందుకు గర్వపడుతున్నాను.
8651,Can you give me the keys?,మీరు నాకు కీలు ఇవ్వగలరా?
8652,There is a post office at the end of the street.,వీధి చివర ఒక పోస్టాఫీసు ఉంది.
8653,I've got evidence.,నాకు ఆధారాలు ఉన్నాయి.
8654,I'm sometimes very careless.,నేను కొన్నిసార్లు చాలా అజాగ్రత్తగా ఉన్నాను.
8655,I don't want you to make the same mistake I made.,నేను చేసిన అదే తప్పును మీరు చేయకూడదనుకుంటున్నాను.
8656,It's started raining again.,మళ్ళీ వర్షం పడటం ప్రారంభమైంది.
8657,I'm not afraid of flying.,నేను ఎగురుటకు భయపడను.
8658,Where are your sisters?,మీ సోదరీమణులు ఎక్కడ ఉన్నారు?
8659,You're a good husband.,మీరు మంచి భర్త.
8660,Where are they going in such a hurry?,ఇంత ఆతురుతలో వారు ఎక్కడికి వెళ్తున్నారు?
8661,I don't want what I'm about to say to be recorded.,నేను చెప్పబోయేది రికార్డ్ చేయబడటం నాకు ఇష్టం లేదు.
8662,I like to play soccer.,నాకు సాకర్ ఆడటం ఇష్టం.
8663,How many windows are there in your bedroom?,మీ పడకగదిలో ఎన్ని కిటికీలు ఉన్నాయి?
8664,Tell me you love me.,నన్ను ప్రేమిస్తున్నానని చెప్పు.
8665,I want to tell her the truth.,నేను ఆమెకు నిజం చెప్పాలనుకుంటున్నాను.
8666,He is supposed to be the best doctor in the town.,అతను పట్టణంలో ఉత్తమ వైద్యుడిగా ఉండాల్సి ఉంది.
8667,Let me know if there's anything I can help you with.,నేను మీకు సహాయం చేయగల ఏదైనా ఉంటే నాకు తెలియజేయండి.
8668,Can you forgive us?,మీరు మమ్మల్ని క్షమించగలరా?
8669,I'm going to propose to her.,నేను ఆమెకు ప్రపోజ్ చేయబోతున్నాను.
8670,Give me three weeks.,నాకు మూడు వారాలు ఇవ్వండి.
8671,I don't care what you did.,మీరు ఏమి చేశారో నేను పట్టించుకోను.
8672,Will you tell him about it when he comes home?,అతను ఇంటికి వచ్చినప్పుడు మీరు దాని గురించి చెబుతారా?
8673,I've come to take you home.,నిన్ను ఇంటికి తీసుకెళ్లడానికి వచ్చాను.
8674,Please show me your stamp album.,దయచేసి మీ స్టాంప్ ఆల్బమ్‌ను నాకు చూపించు.
8675,She is afraid of her own shadow.,ఆమె తన సొంత నీడకు భయపడుతుంది.
8676,I am meeting my mother at the station at 4 o'clock.,నేను 4 గంటలకు స్టేషన్‌లో నా తల్లిని కలుస్తున్నాను.
8677,I want to say one thing.,నేను ఒక విషయం చెప్పాలనుకుంటున్నాను.
8678,I want a boat that will take me far away from here.,నాకు ఇక్కడి నుండి చాలా దూరం వెళ్ళే పడవ కావాలి.
8679,Please give us some examples.,దయచేసి మాకు కొన్ని ఉదాహరణలు ఇవ్వండి.
8680,I'm going to cook dinner.,నేను విందు ఉడికించబోతున్నాను.
8681,Can you tell me when the next bus will arrive?,తదుపరి బస్సు ఎప్పుడు వస్తుందో మీరు నాకు చెప్పగలరా?
8682,I can't go to the concert with you tonight.,ఈ రాత్రి మీతో నేను కచేరీకి వెళ్ళలేను.
8683,Don't you want something to eat?,మీరు ఏదైనా తినకూడదనుకుంటున్నారా?
8684,Tell me all about your plan.,మీ ప్లాన్ గురించి చెప్పు.
8685,I don't think that it's going to be easy.,ఇది సులభం అవుతుందని నేను అనుకోను.
8686,He is making great progress in English.,అతను ఇంగ్లీషులో గొప్ప పురోగతి సాధిస్తున్నాడు.
8687,Can you tell me what is happening?,ఏమి జరుగుతుందో మీరు నాకు చెప్పగలరా?
8688,I wish I could live near your house.,నేను మీ ఇంటి దగ్గర నివసించాలనుకుంటున్నాను.
8689,"I'm sorry, did you say something?","నన్ను క్షమించండి, మీరు ఏదో చెప్పారా?"
8690,I wish there were more people like you.,మీలాంటి వారు ఎక్కువ మంది ఉన్నారని నేను కోరుకుంటున్నాను.
8691,Please stay.,దయచేసి ఉండండి.
8692,I don't think that I need to go.,నేను వెళ్లవలసిన అవసరం ఉందని నేను అనుకోను.
8693,I want breakfast in my room.,నా గదిలో అల్పాహారం కావాలి.
8694,Please close the window.,దయచేసి విండోను మూసివేయండి.
8695,I've heard that in Germany beer is cheaper than water. Is that true?,జర్మనీలో నీటి కంటే బీర్ తక్కువ అని నేను విన్నాను.
8696,Don't you want to try again?,మీరు మళ్లీ ప్రయత్నించాలనుకుంటున్నారా?
8697,It is good for us to understand other cultures.,ఇతర సంస్కృతులను అర్థం చేసుకోవడం మాకు మంచిది.
8698,I can't tell you who's on the list because I haven't seen the list yet.,జాబితాలో ఎవరు ఉన్నారో నేను మీకు చెప్పలేను ఎందుకంటే నేను ఇంకా జాబితాను చూడలేదు.
8699,I don't want to let that happen.,నేను అలా జరగనివ్వను.
8700,I will study abroad when I have finished school.,నేను పాఠశాల పూర్తి చేసిన తర్వాత విదేశాలలో చదువుతాను.
8701,I don't want you to come here.,మీరు ఇక్కడకు రావాలని నేను కోరుకోను.
8702,I was unmarried at that time.,నేను ఆ సమయంలో పెళ్లికానివాడిని.
8703,I need to ask you something.,నేను నిన్ను ఏదో అడగాలి.
8704,Please correct my pronunciation.,దయచేసి నా ఉచ్చారణను సరిచేయండి.
8705,It's out of the question for me to leave my job.,నా ఉద్యోగాన్ని వదిలివేయడం ప్రశ్నార్థకం కాదు.
8706,I don't go to church anymore.,నేను ఇక చర్చికి వెళ్ళను.
8707,I'm glad to have this opportunity to work with you.,మీతో కలిసి పనిచేయడానికి ఈ అవకాశం లభించినందుకు నేను సంతోషిస్తున్నాను.
8708,I'm still working on it.,నేను ఇంకా దానిపై పని చేస్తున్నాను.
8709,I don't know whether you like her or not.,మీరు ఆమెను ఇష్టపడుతున్నారో లేదో నాకు తెలియదు.
8710,I want to buy ski boots.,నేను స్కీ బూట్లు కొనాలనుకుంటున్నాను.
8711,Can your wife drive?,మీ భార్య డ్రైవ్ చేయగలదా?
8712,Let me buy you lunch.,నేను మీకు భోజనం కొననివ్వండి.
8713,Please accept our heartfelt apologies.,దయచేసి మా హృదయపూర్వక క్షమాపణలను అంగీకరించండి.
8714,I'm a waiter.,నేను వెయిటర్.
8715,I didn't have time to eat breakfast this morning.,ఈ ఉదయం అల్పాహారం తినడానికి నాకు సమయం లేదు.
8716,"I can't gain weight, no matter what I eat.",నేను ఏమి తిన్నా బరువు పెరగలేను.
8717,I'm old enough to drink.,నేను త్రాగడానికి తగినంత వయస్సులో ఉన్నాను.
8718,"I will face death, if it is necessary.",అవసరమైతే నేను మరణాన్ని ఎదుర్కొంటాను.
8719,Would you like me to tell the truth?,నేను నిజం చెప్పాలనుకుంటున్నారా?
8720,I'll phone you.,నేను మీకు ఫోన్ చేస్తాను.
8721,I was caught in the rain.,నేను వర్షంలో చిక్కుకున్నాను.
8722,Please help me.,దయచేసి సహాయం చేయండి.
